L,name,description,axes,accel_noise_mg,gyro_noise_dps,residual_accel_bias_mg,residual_gyro_bias_dps,accel_bias_random_walk_mg_sqrt_s,gyro_bias_random_walk_dps_sqrt_s,timestamp_jitter_ms,quantization_mg,odr_hz,vibration_sensitivity_mg,extrinsic_mg,market_class,simulated_axes,calibration_model,manufacturer,price_gate_eur_per_chip_max,datasheet_or_dist_source,price_source_note,datasheet_accel_noise_ug_sqrt_hz,datasheet_gyro_noise_mdps_sqrt_hz,datasheet_accel_zero_g_offset_mg,datasheet_gyro_zero_rate_offset_dps,datasheet_accel_offset_temp_mg_per_c,datasheet_gyro_offset_temp_dps_per_c,price_source
L0,perfect_vicon_imu,perfect Vicon/OptiTrack-derived IMU diagnostic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,,,,,,,,,,,,,,
L1,perfect_sampled_imu_odr_timestamp_only,perfect sampled IMU with ODR and timestamp effects only,6,0.15,0.005,0.03,0.002,0.005,0.0004,0.25,0.0,120.0,0.02,0.0,oracle_sampling_control,,,,,,,,,,,,,
L2,mpu6050_like_6axis_i3_residual,MPU6050-like residual noise after simple I3 bias calibration,6,0.8,0.05,0.2,0.02,0.03,0.002,1.0,0.061,120.0,0.25,0.05,legacy_consumer_6axis_generic,,,,,,,,,,,,,
L3,mpu9250_icm20948_like_9axis_as_6axis,"MPU9250/ICM20948-like consumer 9-axis IMU, simulated as accel+gyro only",9,0.6,0.035,0.15,0.018,0.025,0.002,0.9,0.061,120.0,0.18,0.04,legacy_consumer_9axis_generic,6,generic_legacy_static_bias_calibration,,,,,,,,,,,
L4,lis2dh12_accel_only_proxy,accel-only low-cost sensor proxy; gyro channels are intentionally weak,3,1.4,0.2,0.5,0.08,0.06,0.01,1.2,0.244,120.0,0.45,0.12,accel_only_negative_control,6,negative_control_accel_only_proxy,,,,,,,,,,,
L5,bmi270_lsm6dso_like_modern_6axis,generic modern BMI270/LSM6DSO-like 6-axis IMU,6,0.35,0.025,0.08,0.01,0.012,0.0012,0.6,0.061,120.0,0.08,0.03,modern_consumer_generic,,generic_modern_static_bias_calibration,,,,,,,,,,,
L7,bad_cheap_clone_6axis,pessimistic cheap clone / poor mounting / high vibration sensitivity IMU,6,3.0,0.12,1.2,0.08,0.12,0.01,2.5,0.244,120.0,1.0,0.35,bad_cheap_negative_control,,negative_control_high_bias_high_vibration,,,,,,,,,,,
L8,mis_mounted_imu_extrinsic_stress,modern-ish IMU with large IMU/body extrinsic error stress,6,0.9,0.05,0.25,0.025,0.04,0.003,1.0,0.061,120.0,0.35,0.65,extrinsic_error_stress,,extrinsic_error_stress_not_a_chip_claim,,,,,,,,,,,
L10,invensense_mpu6050_legacy_6axis,legacy low-cost MPU-6050/GY-521 class 6-axis IMU,6,3.1,0.039,0.35,0.035,0.055,0.0045,1.5,0.061,120.0,0.6,0.08,legacy_consumer_low_cost,,simple_static_bias_calibration_with_large_residual_temp_and_vibration_error,TDK InvenSense,100,https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf,widely available low-cost legacy part/module; use as cheap-consumer lower bound,400,5.0,80,20.0,0.8,0.05,
L11,invensense_icm20948_9axis_as_6axis,"ICM-20948 9-axis consumer IMU, simulated using accel+gyro only",9,1.78,0.116,0.25,0.025,0.04,0.0035,1.2,0.061,120.0,0.35,0.06,legacy_consumer_9axis,6,simple_static_bias_calibration_without_using_magnetometer,TDK InvenSense,100,https://www.digikey.co.uk/en/htmldatasheets/production/2502344/0/0/1/icm-20948-datasheet.html,,230,15.0,60,5.0,0.5,0.03,
