item,hypothesis,verdict,key_number
01,Range-residual D_tag changes by height tier,mixed,V4 spread 11.8 mm; V5 spread 7.4 mm; Vicon spread 14.1 mm
02,Elevation angle explains rho,mixed,best abs-angle R2 0.107 for V5
03,Effective D_tag differs by anchor,supported,V5 anchor spread 131.0 mm
04,NLOS exclusions shift D_tag,supported,"V5 exclude D,F delta -15.3 mm"
05,LOO fold D_tag correlates with held-out metadata,mixed,best height R2 0.038 for V4
06,Joint V4-to-V5 morph has a lower valley,supported,"global min alpha 0.15, D=52.0, median 56.4 mm"
07,Common anchor shift and tag shift are interchangeable,supported,"best anchor shift 100.0 mm, tag shift -60.0 mm"
08,Facing group changes D_tag,supported,facing metadata present
09,Board-frame incidence explains rho,skipped,board orientation input unavailable
10,Low-order antenna model beats scalar D_tag,supported,V5 best M2 median 54.8 mm
11,Calibration quality improves with set size,supported,k=4 stratified mean 69.0 mm
12,Calibration design matters,supported,best V5 stratified_LMH median 40.8 mm
13,D_tag criterion optimum varies across folds,supported,max spread 18.0 mm
14,Vicon delay regularization changes oracle tail,mixed,best e10 median 63.4 mm
15,Anchor common mode is layer-dependent,not supported,upper-lower c diff -8.6 mm
16,Residual variance has structured factors,supported,top factor anchor_id fraction 0.090
17,Historical rho weighting/removal improves solves,supported,best V4 inverse_rms median 50.9 mm
18,Static residuals drift over acquisition time,mixed,"D_tag early/mid/late 53.0, 59.6, 34.3 mm"
19,ROTO tags have device-specific D_tag,supported,median per-tag spread 24.9 mm
20,Dynamic residual correlates with motion state,mixed,speed-residual R2 0.000
21,Lower range percentiles mitigate NLOS,supported,V5 p30 median 47.5 mm before fair recalibration
22,Single anchors have D_tag leverage,supported,max delta -8.1 mm removing F
23,Differential ranging cancels common-mode errors,mixed,median differential/absolute RMS ratio 1.416
24,Residual distribution shape differs by layer,mixed,"skew upper 1.76, lower 1.60"
